Time	Type	Set	L Dia X [px]	L Dia Y [px]
3650009925	SMP	1	69.36	61.28
3650029947	SMP	1	68.73	58.55
3650049900	SMP	1	67.97	59.63
3650069925	SMP	1	67.39	59.92
3650089886	SMP	1	66.72	56.31
3650109903	SMP	1	65.23	57.43
3650129865	SMP	1	66.53	58.44
3650149885	SMP	1	65.50	58.92
3650169845	SMP	1	67.57	59.23
3650189866	SMP	1	67.30	57.75
3650209822	SMP	1	68.07	59.37
3650229847	SMP	1	69.65	59.29
3650249805	SMP	1	66.02	57.87
3650269826	SMP	1	70.21	58.21
3650289789	SMP	1	67.41	61.41
3650309808	SMP	1	68.70	58.77
3650329764	SMP	1	68.14	59.18
3650349789	SMP	1	67.61	59.36
3650369749	SMP	1	68.48	59.35
3650389770	SMP	1	67.76	59.43
3650409726	SMP	1	67.41	61.53
3650429752	SMP	1	68.44	61.34
3650449709	SMP	1	68.69	61.31
3650469729	SMP	1	67.36	60.33
3650489688	SMP	1	70.63	60.41
3650509710	SMP	1	68.29	57.42
3650529669	SMP	1	68.67	60.31
3650549687	SMP	1	69.76	57.67
3650569643	SMP	1	70.46	61.27
3650589671	SMP	1	68.45	58.21
3650609628	SMP	1	67.48	61.17
3650629651	SMP	1	68.03	59.37
3650649607	SMP	1	67.18	58.69
3650669630	SMP	1	67.85	60.31
3650689590	SMP	1	68.51	59.28
3650709613	SMP	1	67.52	58.75
3650729569	SMP	1	69.53	60.19
3650749593	SMP	1	68.08	60.40
3650769546	SMP	1	68.75	59.50
3650789579	SMP	1	67.08	59.10
3650809530	SMP	1	66.21	58.27
3650829551	SMP	1	68.53	58.34
3650849507	SMP	1	67.60	60.44
3650869534	SMP	1	69.36	59.20
3650889492	SMP	1	68.09	60.09
3650909512	SMP	1	69.27	60.10
3650929474	SMP	1	66.87	61.50
3650949495	SMP	1	69.10	60.23
3650969451	SMP	1	68.87	61.79
3650989474	SMP	1	65.13	59.00
3651009434	SMP	1	68.00	59.09
3651029453	SMP	1	68.08	59.37
3651049407	SMP	1	67.66	58.18
3651069434	SMP	1	66.21	60.39
3651089399	SMP	1	67.33	59.62
3651109414	SMP	1	68.22	59.18
3651129374	SMP	1	67.39	60.06
3651149395	SMP	1	67.50	60.84
3651169357	SMP	1	69.53	60.93
3651189374	SMP	1	68.39	60.24
3651209334	SMP	1	68.35	58.92
3651229355	SMP	1	68.01	59.32
3651249316	SMP	1	68.24	61.28
3651269337	SMP	1	67.30	58.88
3651289296	SMP	1	67.13	60.54
3651309318	SMP	1	67.53	59.45
3651329276	SMP	1	69.03	59.35
3651349296	SMP	1	67.82	60.88
3651369255	SMP	1	68.36	58.21
3651389277	SMP	1	68.12	58.65
3651409238	SMP	1	68.68	60.13
3651429258	SMP	1	67.66	60.08
3651449217	SMP	1	68.56	60.10
3651469237	SMP	1	67.57	60.17
